iteration,batch,batch_loss,epoch_loss,elapsed_time
1,0,4.57754,4.57754,4.67
1,0,3.06575,3.06575,1.5
1,50,2.59248,2.96037,66.03
1,0,3.04387,3.04387,1.5
1,50,2.40791,2.58529,66.34
1,100,2.54667,2.59052,129.28
1,150,2.30349,2.51735,192.36
1,200,2.6464,2.5007,255.9
1,250,1.90856,2.46421,319.52
1,300,2.31488,2.45143,383.55
1,350,2.38421,2.42669,450.11
1,400,2.12302,2.41629,513.78
1,450,2.34249,2.40024,579.17
1,500,2.12428,2.38741,644.5
1,550,2.0923,2.37537,711.13
1,600,2.53666,2.36063,775.06
1,650,2.58403,2.34693,840.98
1,700,2.52032,2.33634,908.7
1,750,1.73346,2.32361,998.72
1,800,2.3723,2.31295,1064.89
1,850,2.12801,2.29823,1132.14
1,900,1.64187,2.28688,1196.82
1,950,1.7326,2.27624,1262.27
1,1000,2.38482,2.27037,1328.67
1,1050,1.84707,2.26077,1395.1
1,1100,2.17717,2.25336,1463.29
1,1150,2.32124,2.24393,1534.07
1,1200,1.63787,2.23256,1602.81
1,1250,1.67593,2.22809,1671.19
1,1300,1.72272,2.21963,1740.48
1,1350,1.90249,2.21326,1808.99
1,1400,1.86319,2.20711,1876.99
1,1450,2.22654,2.20224,1942.47
1,1500,2.50982,2.19565,2006.57
2,0,1.96158,1.96158,2361.64
